coral,tank,treat,pco2,temp,T0_T90,reef,species,fpco2,ftemp,colony,SA,den,pro,chla,sum_bw5,red_bw1,green_bw1,blue_bw1,sum_bw1,red_bw2,green_bw2,blue_bw2,sum_bw2,red_bw3,green_bw3,blue_bw3,sum_bw3,red_bw4,green_bw4,blue_bw4,sum_bw4,red_bw5,green_bw5,blue_bw5,rate,carb,lipid
CFSC2,280_28_2,288_28,288,28,T90,F,S,280,28,SC_F,8.893,2082386.896,0.413,139.58656,111.3,104.9,54,15,173.9,107.5,63.5,38.3,209.3,88.8,47.6,23.1,159.5,61.7,33.3,19.7,114.7,58.1,32.4,20.8,1.095,0.897092607,0.363216171
CFSC5,700_31_2,701_31,701,31,T90,F,S,700,31,SC_F,9.915,1554009.077,0.673,149.9328,137.4,122.6,64.1,18.9,205.6,109.9,57.6,26.1,193.6,82.4,43.8,21.7,147.9,94,53.2,29.4,176.6,72.4,40.2,24.8,1.41,1.006043248,0.540651476
CFSC6,700_28_2,673_28,673,28,T90,F,S,700,28,SC_F,8.956,2698202.389,0.558,54.53696,134.2,139.2,82.3,36.3,257.8,64.9,31.5,14.1,110.5,72.1,39,18.8,129.9,68.6,38.7,23.1,130.4,73,41.4,19.8,0.969,0.788621433,0.484896973
CFSC7,2800_31_2,3309_31,3309,31,T90,F,S,2800,31,SC_F,9.433,4775265.018,0.777,94.6944,183.3,141.8,83.1,42.4,267.3,109.1,65.7,50.7,225.5,119.3,76.8,61.9,258,114.8,69.9,52.3,237,84.1,54.2,45,0.448,0.835033542,0.361894209
CFSC9,2800_28_2,3285_28,3285,28,T90,F,S,2800,28,SC_F,9.262,1591664.867,0.474,50.67904,211.3,136.2,78.2,35,249.4,79.9,40.3,15.9,136.1,69.2,38.6,18.1,125.9,138.9,95.4,52.7,287,107.6,66.7,37,-0.625,1.784866966,0.793757978
CFSD1,280_31_2,311_31,311,31,T90,F,S,280,31,SD_F,10.682,3313113.158,0.476,31.74016,115.2,129.5,76.7,33.8,240,75.9,40.6,14.4,130.9,59.2,31.1,11.5,101.8,52.3,29.1,17.4,98.8,60.8,34.6,19.8,2.192,0.922135567,0.155171079
CFSD11,280_28_2,288_28,288,28,T90,F,S,280,28,SD_F,10.905,3300513.542,0.544,166.592,114.6,100.6,51.1,4.6,156.3,88.4,46,21.7,156.1,124.3,76.7,32.5,233.5,83.6,45.6,20.2,149.4,62.2,34.2,18.2,0.37,1.563925338,0.204405955
CFSD12,400_28,447_28,447,28,T0,F,S,T0,T0,SD_F,9.394333333,2264769.542,0.472,43.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.179693974,0.029463524
CFSD3,400_31_2,405_31,405,31,T90,F,S,400,31,SD_F,10.206,526748.9712,0.016,11.451008,117.1,160.8,113.1,39.4,313.3,112.5,71,32.8,216.3,105.6,63.8,23.2,192.6,46.9,25.8,14.5,87.2,60.4,34.8,21.9,2.224,0.106281188,0.138480215
CFSD4,280_28_3,288_28,288,28,T90,F,S,280,28,SD_F,11.381,3788881.729,0.37,171.8528,113.8,NA,NA,NA,NA,141.7,87,34.1,262.8,93,52.9,19.5,165.4,49.8,29.4,19.7,98.9,58.5,34,21.3,2.135,0.824434139,0.193745536
